area,current_sources,current_role,classification,jbc_destination,compatibility_rule
identity,"include/CellShard/identity/strong_id.hh;include/CellShard/identity/digest.hh","frozen 64-bit IDs and explicit content digests",generalize,"include/CellShard/compiler/atom/","add namespace-qualified atom identities beside existing CS-FOUND IDs; never hash pointers or runtime state"
domains,"include/CellShard/domain/descriptor.hh","typed domain identity generation and extent",generalize,"include/CellShard/compiler/atom/","preserve domain_id and generation checks; add atom species and exact coverage without shape equivalence"
partitions,"include/CellShard/domain/partition.hh","partition maps contiguous explicit-extent and opaque selections",generalize,"include/CellShard/compiler/atom/;include/CellShard/compiler/certification/","preserve partition descriptors; distinguish ownership proposal halo replica and contribution coverage"
images,"include/CellShard/artifact/image.hh","projection identity target capabilities dependencies routes and nonowning views",generalize,"include/CellShard/compiler/atom/;include/CellShard/artifact/atom_store/","preserve projection/image ABI; add atom planes affordances lineage and exact coverage through adjacent contracts"
extents,"include/CellShard/artifact/extent.hh","storage objects extents alignments digests and operational locations",preserve,"include/CellShard/artifact/atom_store/","extent is physical storage coverage not biological ownership or work"
catalogs,"include/CellShard/artifact/catalog.hh","in-memory artifact and operational source catalogs",generalize,"include/CellShard/artifact/atom_store/;include/CellShard/compiler/graph/","retain catalog validation; add indexed atom grammar basis partial and lineage catalogs without central-file mutation"
snapshots,"include/CellShard/artifact/snapshot.hh","closed validated domain map image route and extent generations",generalize,"include/CellShard/artifact/atom_store/","retain exact closure and acyclicity; add atom dictionary grammar basis superatom partial and action roots"
sources,"include/CellShard/runtime/source/payload_source.hh;include/CellShard/runtime/source/local_file_source.hh","nonowning exact-range provider boundary and local file implementation",preserve,"include/CellShard/runtime/v2/io/","provider context and locations remain operational; no paths in immutable identity"
residency,"include/CellShard/runtime/residency/host.hh;include/CellShard/runtime/residency/device.cuh","move-only host/device ownership caller allocator and caller-stream staging",generalize,"include/CellShard/runtime/v2/residency/","extend to multi-extent atom planes leases pins readiness and topology while retaining explicit allocation/copy"
access_adapters,"include/CellShard/access/adapter.cuh;include/CellShard/access/fallback_adapters.cuh;tests/access_adapter_test.cc","closed archive/pack extension seam and dense/compressed fallbacks",compatibility,"include/CellShard/runtime/v2/io/ adapters","closed cellshard-cpp-access-adapter-refactor remains closed; preserve extension API until versioned migration"
sharded_runtime,"include/CellShard/runtime/layout/sharded.cuh;include/CellShard/runtime/host/sharded_host.cuh;include/CellShard/runtime/device/sharded_device.cuh","row-centric stitched matrix partitions shards host materialization and device upload",compatibility,"include/CellShard/runtime/v2/","do not reinterpret offsets as biological coverage; keep headers and behavior while atom-native callers migrate"
distributed_placement,"include/CellShard/runtime/distributed/distributed.cuh;include/CellShard/runtime/device_bindings.cuh","local round-robin or greedy-by-bytes shard assignment and staging",compatibility,"include/CellShard/runtime/v2/topology/;include/CellShard/runtime/v2/placement/","not topology-aware or global-cost placement; preserve fallback until versioned runtime replacement"
csh5_archive,"include/CellShard/io/csh5/api.cuh;src/io/csh5/","canonical durable metadata-rich archive and pack-generation source",preserve,"existing CSH5 plus explicit import into atom store","do not make CSH5 the hot execution path or silently change CSH5 wire semantics"
csh5_direct_hot_path,"src/io/csh5/execution_runtime_part.hh;src/io/csh5/runtime/fetch.cc","archive-specific fetch conversion and direct runtime helpers",retire,"include/CellShard/runtime/v2/io/ plus published artifacts","retire only after equivalent CSPACK/atom-store routes and differential fixtures exist"
cspack_container,"include/CellShard/io/pack/packfile.cuh;src/io/pack/packfile.cu;docs/SPEC_CSPACK_V1.md","CSPACK01 generated per-shard execution container",preserve,"existing CSPACK01 plus atom-store import/export adapters","keep magic and top-level table unchanged; not a universal compiler database"
cpexec01,"include/CellShard/io/pack/execution_payload.cuh;src/io/pack/execution_payload.cu;tests/execution_payload_cpu_test.cc","native legacy opaque execution envelope identity fetch and staging",compatibility,"CPEXEC02 and atom-store adapters","remain readable/writable with exact stale/corruption rejection; no new semantic ownership"
cpexec02,"include/CellShard/io/pack/image_envelope.hh;src/io/pack/image_envelope.cc;tests/image_envelope_test.cc","portable deterministic image envelope metadata-only inspection and payload extents",preserve,"atom-store import/export and runtime/v2 acquisition","preserve CSPACK01 outer container and explicit image/projection/domain/extent identities"
cshard_archive,"include/CellShard/io/cshard/spec.hh;src/io/cshard/cshard.cc;tests/cshard_v1_test.cc","experimental standby HDF5-free inspect/convert/read archive",compatibility,"none in JBC core unless a later format decision promotes it","do not present CSHARD01 as the atom-store or current canonical source"
compute_layout_policy,"include/CellShard/formats/;src/bucket/;src/convert/;src/repack/","legacy sparse layouts transforms bucketing and repacking retained in CellShard",retire,"Cellerator compute/layout ownership plus narrow CellShard payload adapters","remove only after callers and package consumers migrate; CellShard may carry opaque bytes but not select compute policy"
tests,"tests/foundation_identity_test.cc;tests/foundation_domain_test.cc;tests/foundation_artifact_test.cc;tests/foundation_snapshot_test.cc;tests/payload_source_test.cc;tests/host_residency_test.cc;tests/device_residency_test.cu;tests/foundation_legacy_adapter_test.cc;tests/opaque_image_pipeline_test.cc","independent positive malformed stale duplicate capacity cycle and end-to-end foundation checks",generalize,"tests/jbc/","retain canonical foundation references and add deterministic exact/randomized JBC fixtures in owning later tasks"
cmake_and_exports,"CMakeLists.txt;include/CellShard/CellShard.hh;tests/package_consumer/","central target umbrella install and package-consumer registration",compatibility,"designated JBC integration task only","no bootstrap edit; central registries umbrella headers exports and root CMake remain integration-owned"
