lane_id,subsystem,public_paths,source_paths,test_paths,benchmark_paths,publication_mode,central_integration_rule
CS-JBC-L-ATOM-CORE,atom core,include/CellShard/compiler/atom/,src/compiler/atom/,tests/jbc/atom/,,frozen interface fragments,"no umbrella CMake export or central species registry edit outside owning/integration task"
CS-JBC-L-EVIDENCE-CORE,evidence,"include/CellShard/compiler/evidence/;include/CellShard/interop/cellerator/evidence_adapter_v1.hh",src/compiler/evidence/,tests/jbc/evidence/,,source-linked fragments,"adapter receipt pins Cellerator interface version hash commit and authority revision"
CS-JBC-L-CERTIFICATION,certification,include/CellShard/compiler/certification/,src/compiler/certification/,tests/jbc/certification/,,source-linked fragments,"only certified exact coverage may feed executable registries"
CS-JBC-L-DISC-BICLUSTER,discovery bicluster,include/CellShard/compiler/discovery/bicluster/,src/compiler/discovery/bicluster/,tests/jbc/discovery/bicluster/,bench/jbc/bicluster/,source-linked provider,"provider self-describes capability and never edits a central discovery registry"
CS-JBC-L-DISC-COSUPPORT,discovery co-support,include/CellShard/compiler/discovery/co_support/,src/compiler/discovery/co_support/,tests/jbc/discovery/co_support/,,source-linked provider,"provider self-describes capability and never edits a central discovery registry"
CS-JBC-L-DISC-FACTOR,discovery factor/topic,include/CellShard/compiler/discovery/factor_topic/,src/compiler/discovery/factor_topic/,tests/jbc/discovery/factor_topic/,,source-linked provider,"provider self-describes capability and never edits a central discovery registry"
CS-JBC-L-DISC-MOTIF,discovery motif,include/CellShard/compiler/discovery/motif/,src/compiler/discovery/motif/,tests/jbc/discovery/motif/,,source-linked provider,"provider self-describes capability and never edits a central discovery registry"
CS-JBC-L-DISC-MULTIMODAL,discovery multimodal,include/CellShard/compiler/discovery/multimodal/,src/compiler/discovery/multimodal/,tests/jbc/discovery/multimodal/,,source-linked provider,"provider self-describes capability and never edits a central discovery registry"
CS-JBC-L-DISC-OPTRACE,discovery operation trace,include/CellShard/compiler/discovery/operation_trace/,src/compiler/discovery/operation_trace/,tests/jbc/discovery/operation_trace/,,source-linked provider,"provider self-describes capability and never edits a central discovery registry"
CS-JBC-L-DISC-OVERLAP,discovery overlap,include/CellShard/compiler/discovery/overlap/,src/compiler/discovery/overlap/,tests/jbc/discovery/overlap/,,source-linked provider,"provider self-describes capability and never edits a central discovery registry"
CS-JBC-L-DISC-SEQUENCE,discovery sequence compatibility,include/CellShard/compiler/discovery/sequence_compat/,,tests/jbc/discovery/sequence_compat/,,source-linked interface/provider,"Baseplane science remains external and no central discovery registry is edited"
CS-JBC-L-DISC-SIGNATURE,discovery support signature,include/CellShard/compiler/discovery/support_signature/,src/compiler/discovery/support_signature/,tests/jbc/discovery/support_signature/,,source-linked provider,"provider self-describes capability and never edits a central discovery registry"
CS-JBC-L-DISC-TRAJECTORY,discovery trajectory,include/CellShard/compiler/discovery/trajectory/,src/compiler/discovery/trajectory/,tests/jbc/discovery/trajectory/,bench/jbc/trajectory/,source-linked provider,"caller supplies trajectory identity and uncertainty; provider never infers pseudotime or edits a central registry"
CS-JBC-L-COMPOSITION,composition,include/CellShard/compiler/composition/,src/compiler/composition/,tests/jbc/composition/,,frozen interface fragments,"production aggregation and any central registry are integration-owned"
CS-JBC-L-EXPLICIT-GRAMMAR,explicit grammar,include/CellShard/compiler/grammar/,src/compiler/grammar/explicit/,tests/jbc/grammar/explicit/,,source-linked fragments,"versioned production registry is owned by its explicit grammar task and exported only by integration"
CS-JBC-L-INDUCED-GRAMMAR,induced grammar,include/CellShard/compiler/grammar/,src/compiler/grammar/induced/,tests/jbc/grammar/induced/,bench/jbc/grammar/,source-linked experimental provider,"must retain explicit grammar fallback and cannot mutate the public registry independently"
CS-JBC-L-BASIS,basis,include/CellShard/compiler/basis/,src/compiler/basis/,tests/jbc/basis/,bench/jbc/basis/,frozen interface fragments,"basis solver/provider aggregation and root registration are integration-owned"
CS-JBC-L-SUPERATOM,superatom,include/CellShard/compiler/composition/superatom/,src/compiler/composition/superatom/,tests/jbc/superatom/,,source-linked fragments,"composition owner integrates superatom fragments after exact certification"
CS-JBC-L-PARTIALS,persistent partials,include/CellShard/compiler/partial/,src/compiler/partial/,tests/jbc/partial/,bench/jbc/partial/,frozen interface fragments,"Cellerator algebra receipt is pinned before any central registration"
CS-JBC-L-PERSISTENCE,atom store,include/CellShard/artifact/atom_store/,src/artifact/atom_store/,tests/jbc/atom_store/,,source-linked codec/store fragments,"docs/SPEC_ATOM_STORE_V1.md codec registry format registration exports and root CMake are owning integration changes"
CS-JBC-L-GLOBAL-IR,global graph and schedule,"include/CellShard/compiler/graph/;include/CellShard/compiler/schedule/","src/compiler/graph/;src/compiler/schedule/",tests/jbc/global_ir/,,frozen provider and schedule fragments,"portable provider/schedule aggregation and profiler registration are integration-owned"
CS-JBC-L-RUNTIME,runtime v2,include/CellShard/runtime/v2/,src/runtime/v2/,tests/jbc/runtime/,bench/jbc/runtime/,source-linked transport/runtime providers,"transport-provider registry runtime export and root CMake are owning integration changes"
CS-JBC-L-VALIDATION-INTEGRATION,validation and integration,,,tests/jbc/,bench/jbc/,central integration,"owns root CMake umbrella package exports central registries final format registration shared evidence docs and package consumers"
